StrainName	Start	End	DonorLineage
ERR12861843	4013251	4015204	SC5
DRR286192	3196	4113	SC5
DRR286192	221729	224529	SC5
DRR286192	242908	244074	SC5
DRR286192	277767	279983	SC5
DRR286192	315784	317736	SC5
DRR286192	517264	522856	SC5
DRR286192	545831	548513	SC5
DRR286192	597602	599101	SC5
DRR286192	663348	665591	SC5
DRR286192	669113	671372	SC5
DRR286192	782920	784509	SC5
DRR286192	943083	950073	SC5
DRR286192	965326	969782	SC5
DRR286192	971034	972348	SC5
DRR286192	974099	977595	SC5
DRR286192	1130114	1131975	SC5
DRR286192	1157417	1158338	SC5
DRR286192	1283401	1284207	SC5
DRR286192	1300215	1301395	SC5
DRR286192	1334481	1336460	SC5
DRR286192	1390354	1393877	SC5
DRR286192	1427027	1430351	SC5
DRR286192	1495264	1502617	SC5
DRR286192	1543052	1544150	SC5
DRR286192	1553710	1554298	SC5
DRR286192	1559857	1561287	SC5
DRR286192	1598202	1603898	SC5
DRR286192	1734121	1735941	SC5
DRR286192	1739134	1739980	SC5
DRR286192	1760525	1769191	SC5
DRR286192	1838931	1843974	SC5
DRR286192	1987034	1988820	SC5
DRR286192	2230760	2233004	SC5
DRR286192	2301930	2303801	SC5
DRR286192	2311119	2311694	SC5
DRR286192	2461713	2464370	SC5
DRR286192	2500490	2503598	SC5
DRR286192	2525227	2526678	SC5
DRR286192	2563949	2570003	SC5
DRR286192	2627321	2633079	SC5
DRR286192	2673863	2676308	SC5
DRR286192	2730165	2735337	SC5
DRR286192	2764646	2766291	SC5
DRR286192	2937086	2938650	SC5
DRR286192	3009907	3010890	SC5
DRR286192	3034257	3035389	SC5
DRR286192	3157612	3159372	SC5
DRR286192	3170461	3171578	SC5
DRR286192	3172934	3174333	SC5
DRR286192	3179295	3182758	SC5
DRR286192	3187170	3190204	SC5
DRR286192	3212606	3213763	SC5
DRR286192	3533278	3537004	SC5
DRR286192	3564115	3567518	SC5
DRR286192	3664965	3666505	SC5
DRR286192	3748956	3753073	SC5
DRR286192	3777577	3778405	SC5
DRR286192	3881093	3887019	SC5
DRR286192	3898827	3900233	SC5
DRR286151	273238	275217	SC5
DRR286151	825187	825810	SC5
DRR286151	1023563	1025053	SC5
DRR286151	2480903	2481393	SC5
DRR286151	2495983	2496436	SC5
DRR286151	2539510	2539880	SC5
DRR286151	3136516	3138950	SC5
DRR286151	3396301	3396575	SC5
DRR286151	3416903	3419703	SC5
DRR286151	3490072	3490727	SC5
DRR286151	3909508	3911168	SC5
ERR12861733	2891	7787	SC5
ERR12861733	190527	194783	SC5
ERR12861733	196985	200102	SC5
ERR12861733	223822	225336	SC5
ERR12861733	252339	255557	SC5
ERR12861733	282624	283947	SC5
ERR12861733	296365	298745	SC5
ERR12861733	369438	370647	SC5
ERR12861733	405373	407794	SC5
ERR12861733	544717	545121	SC5
ERR12861733	612751	613407	SC5
ERR12861733	691959	693450	SC5
ERR12861733	843593	845816	SC5
ERR12861733	870758	872985	SC5
ERR12861733	1008395	1009504	SC5
ERR12861733	1392990	1396918	SC5
ERR12861733	1686992	1688276	SC5
ERR12861733	1751969	1753106	SC5
ERR12861733	1766423	1767902	SC5
ERR12861733	1774505	1776142	SC5
ERR12861733	2346812	2348878	SC5
ERR12861733	2400872	2402745	SC5
ERR12861733	2470653	2474407	SC5
ERR12861733	2580062	2580748	SC5
ERR12861733	2618445	2620892	SC5
ERR12861733	2851486	2852462	SC5
ERR12861733	3163085	3165291	SC5
ERR12861733	3172891	3174950	SC5
ERR12861733	3177686	3182166	SC5
ERR12861733	3254283	3255803	SC5
ERR12861733	3324672	3326406	SC5
ERR12861733	3416577	3417933	SC5
ERR12861733	3464692	3473201	SC5
ERR12861733	3480327	3483226	SC5
ERR12861733	3496500	3497073	SC5
ERR12861733	3555094	3558792	SC5
ERR12861733	3664965	3667329	SC5
ERR12861733	3881442	3885926	SC5
ERR12861733	3914356	3916822	SC5
ERR12861380	282551	285566	SC5
ERR12861380	300172	301097	SC5
ERR12861380	835669	837593	SC5
ERR12861380	1255654	1256528	SC5
ERR12861380	1350440	1353642	SC5
ERR12861380	1880271	1881057	SC5
ERR12861380	2363487	2367747	SC5
ERR12861380	2584973	2585341	SC5
ERR12861380	2757752	2759404	SC5
ERR12861380	2809018	2810657	SC5
ERR12861380	2941433	2943758	SC5
ERR12861380	3179454	3181075	SC5
ERR12861380	3386921	3387537	SC5
ERR12861380	3387766	3387928	SC5
ERR12861380	3469783	3473354	SC5
ERR12861380	3564320	3565965	SC5
ERR12861380	3646910	3648021	SC5
ERR12861380	3751459	3751977	SC5
ERR12861380	3927201	3928096	SC5
ERR12861380	3930730	3931680	SC5
ERR12861380	3986578	3987034	SC5
ERR12861380	4135145	4139855	SC5
ERR12861379	151655	152842	SC5
ERR12861379	204474	206203	SC5
ERR12861379	753608	754336	SC5
ERR12861379	858764	860938	SC5
ERR12861379	1520319	1521861	SC5
ERR12861379	1556990	1557694	SC5
ERR12861379	1594133	1595233	SC5
ERR12861379	1607682	1607774	SC5
ERR12861379	1782055	1783280	SC5
ERR12861379	2127867	2131255	SC5
ERR12861379	2444290	2445543	SC5
ERR12861379	2707800	2708970	SC5
ERR12861379	2864408	2865466	SC5
ERR12861379	2938827	2942329	SC5
ERR12861379	3390591	3391354	SC5
ERR12861379	3612049	3612775	SC5
ERR12861379	3779038	3786270	SC5
ERR12861379	4108725	4109259	SC5
ERR12861552	371019	371160	SC5
ERR12861552	376454	376746	SC5
ERR12861552	390603	394216	SC5
ERR12861552	434044	434843	SC5
ERR12861552	574859	576342	SC5
ERR12861552	691959	694552	SC5
ERR12861552	773115	773525	SC5
ERR12861552	798859	801461	SC5
ERR12861552	849200	852410	SC5
ERR12861552	1021206	1023102	SC5
ERR12861552	1176550	1178745	SC5
ERR12861552	1202437	1204128	SC5
ERR12861552	1266348	1267622	SC5
ERR12861552	1508127	1509955	SC5
ERR12861552	1590939	1594174	SC5
ERR12861552	1596046	1600845	SC5
ERR12861552	1679451	1680240	SC5
ERR12861552	1702319	1705616	SC5
ERR12861552	1814219	1816877	SC5
ERR12861552	1946270	1946312	SC5
ERR12861552	1961318	1962707	SC5
ERR12861552	1964846	1966553	SC5
ERR12861552	2012423	2012716	SC5
ERR12861552	2044057	2046166	SC5
ERR12861552	2219560	2221510	SC5
ERR12861552	2244954	2246349	SC5
ERR12861552	2309363	2311811	SC5
ERR12861552	2438587	2440119	SC5
ERR12861552	2577681	2578529	SC5
ERR12861552	2657946	2658541	SC5
ERR12861552	2775659	2779624	SC5
ERR12861552	2886062	2887961	SC5
ERR12861552	2888906	2889888	SC5
ERR12861552	2902760	2904460	SC5
ERR12861552	3032110	3032943	SC5
ERR12861552	3094665	3099386	SC5
ERR12861552	3148028	3150562	SC5
ERR12861552	3193288	3195642	SC5
ERR12861552	3199292	3199622	SC5
ERR12861552	3280721	3285751	SC5
ERR12861552	3367201	3367876	SC5
ERR12861552	3431542	3432463	SC5
ERR12861552	3611974	3612775	SC5
ERR12861552	3616215	3619088	SC5
ERR12861552	3627368	3629528	SC5
ERR12861552	3650455	3654124	SC5
ERR12861552	3701044	3702522	SC5
ERR12861552	3729846	3732087	SC5
ERR12861552	3740365	3741461	SC5
ERR12861552	3758613	3762023	SC5
ERR12861552	3886062	3888240	SC5
ERR12861552	3908342	3909107	SC5
ERR12861552	3939569	3942419	SC5
ERR12861552	3983495	3985079	SC5
ERR12861552	3989315	3992157	SC5
ERR12861552	4085538	4088315	SC5
ERR12861552	4144727	4188065	SC5
ERR12861891	107780	109403	SC5
ERR12861891	245720	247444	SC5
ERR12861891	849902	855408	SC5
ERR12861891	1387109	1388166	SC5
ERR12861891	1816129	1817150	SC5
ERR12861891	2044173	2046166	SC5
ERR12861891	2618800	2619171	SC5
ERR12861891	3148339	3149486	SC5
ERR12861891	3784191	3786270	SC5
SRR7800605	598003	599938	SC5
SRR7800605	968254	969697	SC5
SRR7800605	1251606	1252378	SC5
SRR7800605	1300365	1301395	SC5
SRR7800605	1602703	1604163	SC5
SRR7800605	1686992	1687811	SC5
SRR7800605	1736463	1738888	SC5
SRR7800605	2422477	2423820	SC5
SRR7800605	2653880	2655707	SC5
SRR7800605	2876804	2877673	SC5
SRR7800605	3113469	3113897	SC5
SRR7800605	3481002	3481341	SC5
SRR7800605	3863227	3864698	SC5
SRR7800605	3898827	3900329	SC5
SRR7800605	4102751	4103233	SC5
SRR7800605	4108494	4114279	SC5
DRR286234	1	3985	SC5
DRR286234	146722	148755	SC5
DRR286234	298258	302297	SC5
DRR286234	317097	319868	SC5
DRR286234	352651	356400	SC5
DRR286234	359457	360142	SC5
DRR286234	709205	711765	SC5
DRR286234	729208	730028	SC5
DRR286234	967496	971033	SC5
DRR286234	971659	975752	SC5
DRR286234	1079259	1080227	SC5
DRR286234	1168311	1170719	SC5
DRR286234	1334368	1336460	SC5
DRR286234	1340410	1342629	SC5
DRR286234	1502256	1505224	SC5
DRR286234	1543095	1545049	SC5
DRR286234	1686934	1687759	SC5
DRR286234	1734305	1735941	SC5
DRR286234	1839589	1842897	SC5
DRR286234	1886681	1887512	SC5
DRR286234	1921341	1924196	SC5
DRR286234	2120993	2122795	SC5
DRR286234	2235835	2236180	SC5
DRR286234	2336928	2339592	SC5
DRR286234	2346406	2353711	SC5
DRR286234	2373485	2375471	SC5
DRR286234	2565614	2566522	SC5
DRR286234	2597461	2598470	SC5
DRR286234	2732696	2735337	SC5
DRR286234	2864290	2865376	SC5
DRR286234	2952347	2954865	SC5
DRR286234	2971228	2972465	SC5
DRR286234	3156624	3160022	SC5
DRR286234	3165011	3166702	SC5
DRR286234	3173700	3174333	SC5
DRR286234	3179295	3181448	SC5
DRR286234	3237662	3240319	SC5
DRR286234	3266323	3267745	SC5
DRR286234	3468151	3471308	SC5
DRR286234	3475481	3476329	SC5
DRR286234	3664965	3666390	SC5
DRR286234	3779189	3779939	SC5
DRR286234	3856944	3857810	SC5
DRR286234	3881351	3882383	SC5
DRR286234	4112064	4114448	SC5
ERR12861708	3784191	3786270	SC5
ERR12861377	588642	590621	SC5
ERR12861377	3782170	3786270	SC5
ERR12861783	199036	199705	SC5
ERR12861783	976003	977077	SC5
ERR12861783	1377026	1377111	SC5
ERR12861783	1710567	1711412	SC5
ERR12861783	1736314	1739133	SC5
ERR12861783	1914993	1919899	SC5
ERR12861783	1997342	1999249	SC5
ERR12861783	2045748	2046476	SC5
ERR12861783	2538098	2540400	SC5
ERR12861783	2642148	2643243	SC5
ERR12861783	2679452	2680175	SC5
ERR12861783	2786911	2790908	SC5
ERR12861783	3065542	3068970	SC5
ERR12861783	3751306	3753917	SC5
ERR12861783	3915145	3916649	SC5
ERR12861651	1254990	1256918	SC5
ERR12861651	1353895	1357762	SC5
ERR12861651	1660061	1660396	SC5
ERR12861651	1706227	1708077	SC5
ERR12861651	1909663	1911488	SC5
ERR12861651	2274030	2274085	SC5
ERR12861651	2274318	2274558	SC5
ERR12861651	2559978	2562262	SC5
ERR12861651	2565738	2567355	SC5
ERR12861651	2753674	2754712	SC5
ERR12861651	2760179	2764555	SC5
ERR12861651	2992865	2993583	SC5
ERR12861651	3029291	3030826	SC5
ERR12861651	3036833	3039356	SC5
ERR12861651	3048968	3050879	SC5
ERR12861651	3066855	3067397	SC5
ERR12861651	3132263	3134194	SC5
ERR12861651	3383642	3386002	SC5
ERR12861651	3434123	3434314	SC5
ERR12861651	3440048	3440844	SC5
ERR12861651	3646732	3647021	SC5
ERR12861651	3676948	3677906	SC5
ERR12861651	3799762	3802393	SC5
ERR12861651	3805422	3806169	SC5
ERR12861651	3822797	3823612	SC5
ERR12861651	3897340	3898716	SC5
ERR12861651	3898983	3899899	SC5
ERR12861651	3925266	3926747	SC5
ERR12861651	3981803	3981891	SC5
ERR12861651	3982579	3987617	SC5
ERR12861651	3993095	3996415	SC5
SRR10112073	753608	754358	SC5
SRR10112073	1008309	1009417	SC5
SRR10112073	1145709	1146286	SC5
SRR10112073	1335158	1336383	SC5
SRR10112073	2373695	2374801	SC5
SRR10112073	2408997	2409427	SC5
SRR10112073	2422051	2423571	SC5
SRR10112073	2646330	2647196	SC5
SRR10112073	2876723	2877742	SC5
SRR10112073	3793235	3794468	SC5
SRR10112073	3899103	3900724	SC5
ERR12861903	232627	234166	SC5
ERR12861903	667772	670131	SC5
ERR12861903	788829	788942	SC5
ERR12861903	1172220	1173042	SC5
ERR12861903	1361040	1362659	SC5
ERR12861903	1363725	1365595	SC5
ERR12861903	1476918	1478089	SC5
ERR12861903	1497438	1498059	SC5
ERR12861903	2375673	2377433	SC5
ERR12861903	2567896	2568966	SC5
ERR12861903	2645968	2647072	SC5
ERR12861903	2819018	2821702	SC5
ERR12861903	3072514	3075227	SC5
ERR12861903	3114514	3115426	SC5
ERR12861903	3180684	3181969	SC5
ERR12861903	3451369	3453042	SC5
ERR12861903	3784191	3786270	SC5
ERR12861949	190527	194783	SC5
ERR12861949	223942	225336	SC5
ERR12861949	252339	254104	SC5
ERR12861949	282624	283947	SC5
ERR12861949	296365	297620	SC5
ERR12861949	405373	408234	SC5
ERR12861949	612890	613407	SC5
ERR12861949	691959	693450	SC5
ERR12861949	870758	872985	SC5
ERR12861949	967040	968321	SC5
ERR12861949	1153746	1156333	SC5
ERR12861949	1523807	1526497	SC5
ERR12861949	1529868	1532670	SC5
ERR12861949	1751969	1753157	SC5
ERR12861949	1765803	1767902	SC5
ERR12861949	1774815	1777301	SC5
ERR12861949	1824661	1826328	SC5
ERR12861949	2401920	2402804	SC5
ERR12861949	2580062	2580748	SC5
ERR12861949	2619463	2620892	SC5
ERR12861949	2851510	2852462	SC5
ERR12861949	3156949	3165291	SC5
ERR12861949	3172891	3174413	SC5
ERR12861949	3178537	3182166	SC5
ERR12861949	3254351	3255803	SC5
ERR12861949	3324672	3326977	SC5
ERR12861949	3416577	3418032	SC5
ERR12861949	3466638	3473201	SC5
ERR12861949	3480327	3483226	SC5
ERR12861949	3496500	3497073	SC5
ERR12861949	3557636	3558792	SC5
ERR12861949	3664965	3667329	SC5
ERR12861949	3881273	3885926	SC5
ERR12861949	3915145	3916744	SC5
ERR13148602	285157	285315	SC5
ERR13148602	836094	838346	SC5
ERR13148602	894757	896065	SC5
ERR13148602	1226631	1228186	SC5
ERR13148602	1425395	1426995	SC5
ERR13148602	1909708	1910745	SC5
ERR13148602	1912045	1912379	SC5
ERR13148602	1913266	1914992	SC5
ERR13148602	2069561	2071770	SC5
ERR13148602	2162722	2164351	SC5
ERR13148602	2995888	2996236	SC5
ERR13148602	2996525	2998395	SC5
ERR13148602	3032098	3033321	SC5
ERR13148602	3040817	3041126	SC5
ERR13148602	3129338	3129655	SC5
ERR13148602	3328087	3329349	SC5
ERR13148602	3332638	3336604	SC5
ERR13148602	3391002	3391692	SC5
ERR13148602	3440186	3441208	SC5
ERR13148602	3468228	3470357	SC5
ERR13148602	3671056	3672032	SC5
ERR13148602	3756833	3758290	SC5
ERR13148602	3805094	3805969	SC5
ERR13148602	3925199	3926526	SC5
ERR13148602	4133131	4133802	SC5
SRR10120009	753608	754358	SC5
SRR10120009	1008309	1009417	SC5
SRR10120009	1145709	1146286	SC5
SRR10120009	1335158	1336383	SC5
SRR10120009	2373695	2374774	SC5
SRR10120009	2408997	2409427	SC5
SRR10120009	2646330	2647196	SC5
SRR10120009	2876723	2877742	SC5
SRR10120009	3793235	3794468	SC5
SRR10120009	3899103	3900724	SC5
SRR7800523	977916	979633	SC5
SRR7800523	1031324	1032059	SC5
SRR7800523	1148098	1148331	SC5
SRR7800523	1362961	1364587	SC5
SRR7800523	1569267	1569997	SC5
SRR7800523	1736314	1737652	SC5
SRR7800523	3037822	3039660	SC5
SRR7800523	3184644	3185652	SC5
SRR7800523	3236022	3241306	SC5
SRR7800523	4211995	4227259	SC5
ERR12861682	105169	109430	SC5
ERR12861682	246709	247444	SC5
ERR12861682	564563	566200	SC5
ERR12861682	710391	711100	SC5
ERR12861682	944917	945462	SC5
ERR12861682	971702	975909	SC5
ERR12861682	1145709	1146224	SC5
ERR12861682	1381747	1384596	SC5
ERR12861682	1502618	1503573	SC5
ERR12861682	1623700	1624189	SC5
ERR12861682	1762009	1763121	SC5
ERR12861682	1848255	1850603	SC5
ERR12861682	1922108	1923527	SC5
ERR12861682	1963356	1963898	SC5
ERR12861682	2076150	2077756	SC5
ERR12861682	2373695	2374790	SC5
ERR12861682	2618201	2619975	SC5
ERR12861682	2982551	2982875	SC5
ERR12861682	3015897	3017231	SC5
ERR12861682	3169419	3169997	SC5
ERR12861682	3212523	3213271	SC5
ERR12861682	3779347	3786270	SC5
ERR12861682	3793149	3794202	SC5
ERR12861682	3857074	3857651	SC5
ERR12861682	3948587	3950542	SC5
ERR12861517	89478	89950	SC5
ERR12861517	204268	204996	SC5
ERR12861517	555411	556453	SC5
ERR12861517	854142	856327	SC5
ERR12861517	943216	944604	SC5
ERR12861517	960515	961138	SC5
ERR12861517	1189666	1190636	SC5
ERR12861517	1406535	1406934	SC5
ERR12861517	1496907	1498493	SC5
ERR12861517	1590830	1591561	SC5
ERR12861517	1604657	1606026	SC5
ERR12861517	1617613	1621330	SC5
ERR12861517	1651724	1652941	SC5
ERR12861517	1859341	1866627	SC5
ERR12861517	2035166	2036129	SC5
ERR12861517	2573667	2574872	SC5
ERR12861517	2645968	2647072	SC5
ERR12861517	2654018	2655707	SC5
ERR12861517	2674206	2674979	SC5
ERR12861517	2940000	2943463	SC5
ERR12861517	2962510	2963717	SC5
ERR12861517	3073654	3075491	SC5
ERR12861517	3401164	3404050	SC5
ERR12861517	3404429	3405575	SC5
ERR12861517	3510603	3512978	SC5
ERR12861517	3627695	3628593	SC5
ERR12861517	3730063	3730942	SC5
ERR12861517	3761722	3764658	SC5
ERR12861517	3765542	3766307	SC5
ERR12861517	3843162	3844314	SC5
ERR12861517	3886062	3890625	SC5
ERR12861517	3978087	3978849	SC5
ERR12861517	4046313	4047062	SC5
ERR12861447	1055072	1057569	SC5
ERR12861447	1290630	1292337	SC5
ERR12861447	1622565	1626429	SC5
ERR12861447	2113193	2113742	SC5
ERR12861447	2254130	2255607	SC5
ERR12861447	2562263	2565555	SC5
ERR12861447	3247498	3248033	SC5
ERR12861447	3783624	3786270	SC5
ERR12861447	3888765	3890625	SC5
ERR12861447	4085296	4087811	SC5
ERR12861519	1599255	1600827	SC5
ERR12861519	2366233	2366619	SC5
ERR12861519	2499343	2500091	SC5
ERR12861519	2566092	2567895	SC5
ERR12861519	2809204	2811304	SC5
ERR12861519	3037305	3040448	SC5
ERR12861519	3072486	3072934	SC5
ERR12861519	3146978	3147457	SC5
ERR12861519	3147806	3149695	SC5
ERR12861519	3178447	3180475	SC5
ERR12861519	3535507	3538257	SC5
ERR12861519	3564450	3565965	SC5
ERR12861519	3569609	3570380	SC5
DRR286166	3542	3837	SC5
DRR286166	24058	24698	SC5
DRR286166	175106	176507	SC5
DRR286166	300436	301916	SC5
DRR286166	325541	325733	SC5
DRR286166	526126	531383	SC5
DRR286166	663348	665528	SC5
DRR286166	708172	710262	SC5
DRR286166	746561	747904	SC5
DRR286166	951137	955336	SC5
DRR286166	968783	971580	SC5
DRR286166	1329252	1332387	SC5
DRR286166	1341551	1341826	SC5
DRR286166	1477815	1479182	SC5
DRR286166	1689966	1695249	SC5
DRR286166	1761556	1763121	SC5
DRR286166	1765625	1769066	SC5
DRR286166	1781500	1783468	SC5
DRR286166	1925072	1926025	SC5
DRR286166	2444131	2446757	SC5
DRR286166	2824786	2830835	SC5
DRR286166	2949409	2950552	SC5
DRR286166	3065542	3069064	SC5
DRR286166	3157987	3160662	SC5
DRR286166	3261631	3268716	SC5
DRR286166	3475459	3476496	SC5
DRR286166	3556072	3558140	SC5
DRR286166	3664965	3667217	SC5
DRR286166	3823391	3824580	SC5
DRR286166	3881351	3882383	SC5
DRR286166	4003300	4004410	SC5
DRR286166	4065764	4069999	SC5
DRR286166	4216759	4227244	SC5
DRR286166	4232667	4238720	SC5
