"StrainName","Start","End","DonorLineage","length"
"SRR13556499",1599801,1603898,"7",4097
"SRR13556499",1603899,1606026,"5",2127
"SRR13556499",1606027,1608611,"4",2584
"SRR13556499",1649874,1654380,"5",4506
"SRR13556499",1654381,1654865,"8",484
"SRR13556499",1654866,1656360,"10",1494
"SRR13556499",1657054,1662893,"10",5839
"SRR13556499",1663257,1663363,"10",106
"SRR13556499",1664099,1666919,"9",2820
"SRR13556499",1703349,1706799,"9",3450
"SRR13556499",1706800,1710566,"6",3766
"SRR13556499",1710567,1710966,"3",399
"SRR13556499",1727266,1729187,"3",1921
"SRR13556499",1729188,1731993,"1",2805
"SRR13556499",1822251,1824039,"6",1788
"SRR13556499",1824040,1828070,"5",4030
"SRR13556499",1877720,1878816,"6",1096
"SRR13556499",1878817,1879906,"10",1089
"SRR13556499",1879907,1880012,"8",105
"SRR13556499",1880013,1880856,"3",843
"SRR13556499",1880857,1882526,"5",1669
"SRR13556499",1882527,1883356,"3",829
"SRR13556499",1883357,1883685,"4",328
"SRR13556499",1883686,1886410,"3",2724
"SRR13556499",1906417,1909505,"5",3088
"SRR13556499",1910812,1911560,"3",748
"SRR13556499",1911561,1919160,"5",7599
"SRR13556499",1919161,1921883,"4",2722
"SRR13556499",2061217,2068955,"5",7738
"SRR13556499",2068956,2070362,"6",1406
"SRR13556499",2070363,2073686,"5",3323
"SRR13556499",2073687,2073737,"7",50
"SRR13556499",2073738,2074507,"8",769
"SRR13556499",2074508,2074826,"7",318
"SRR13556499",2140329,2141613,"7",1284
"SRR13556499",2268222,2271229,"6",3007
"SRR13556499",2271230,2274214,"5",2984
"SRR13556499",2274215,2276019,"4",1804
"SRR13556499",2323260,2328692,"4",5432
"SRR13556499",2361352,2363652,"6",2300
"SRR13556499",2364080,2365850,"3",1770
"SRR13556499",2365851,2369143,"6",3292
"SRR13556499",2369144,2370690,"10",1546
"SRR13556499",2370691,2373357,"6",2666
"SRR13556499",2373358,2375185,"5",1827
"SRR13556499",2498872,2499342,"6",470
"SRR13556499",2499343,2500316,"1",973
"SRR13556499",2510944,2513784,"8",2840
"SRR13556499",2513785,2517908,"5",4123
"SRR13556499",2526317,2528635,"5",2318
"SRR13556499",2528636,2529702,"4",1066
"SRR13556499",2529703,2531007,"3",1304
"SRR13556499",2531008,2532755,"7",1747
"SRR13556499",2556901,2559958,"4",3057
"SRR13556499",2559959,2570336,"5",10377
"SRR13556499",2584495,2585407,"6",912
"SRR13556499",2588489,2590002,"4",1513
"SRR13556499",2593662,2594633,"5",971
"SRR13556499",2595530,2596891,"10",1361
"SRR13556499",2598625,2601673,"6",3048
"SRR13556499",2612804,2616232,"6",3428
"SRR13556499",2616233,2617494,"3",1261
"SRR13556499",2618032,2619240,"3",1208
"SRR13556499",2647447,2648910,"3",1463
"SRR13556499",2648911,2650265,"4",1354
"SRR13556499",2750021,2755081,"6",5060
"SRR13556499",2755082,2756676,"7",1594
"SRR13556499",2756677,2760145,"6",3468
"SRR13556499",2760146,2763230,"8",3084
"SRR13556499",2763231,2764148,"3",917
"SRR13556499",2764149,2765875,"6",1726
"SRR13556499",2799811,2802606,"10",2795
"SRR13556499",2810583,2811076,"9",493
"SRR13556499",2922196,2925216,"4",3020
"SRR13556499",2925217,2928603,"6",3386
"SRR13556499",2928604,2930402,"3",1798
"SRR13556499",2938469,2939656,"6",1187
"SRR13556499",2940000,2943186,"1",3186
"SRR13556499",2943187,2943286,"3",99
"SRR13556499",2943287,2946442,"10",3155
"SRR13556499",2946868,2947146,"7",278
"SRR13556499",2947147,2950740,"6",3593
"SRR13556499",2950741,2955148,"5",4407
"SRR13556499",2955149,2956490,"3",1341
"SRR13556499",2962747,2967800,"4",5053
"SRR13556499",2971388,2982550,"6",11162
"SRR13556499",2993549,2997543,"10",3994
"SRR13556499",3027274,3028680,"3",1406
"SRR13556499",3035555,3040262,"6",4707
"SRR13556499",3040263,3043799,"3",3536
"SRR13556499",3048187,3052201,"10",4014
"SRR13556499",3052202,3053530,"1",1328
"SRR13556499",3062237,3065244,"5",3007
"SRR13556499",3126613,3129375,"5",2762
"SRR13556499",3129376,3130139,"1",763
"SRR13556499",3134798,3136436,"3",1638
"SRR13556499",3136437,3137824,"8",1387
"SRR13556499",3137850,3137884,"4",34
"SRR13556499",3138242,3139441,"5",1199
"SRR13556499",3146625,3148797,"6",2172
"SRR13556499",3148798,3153760,"3",4962
"SRR13556499",3153761,3155596,"4",1835
"SRR13556499",3175603,3178018,"6",2415
"SRR13556499",3178019,3179035,"7",1016
"SRR13556499",3179036,3181654,"6",2618
"SRR13556499",3181655,3184451,"5",2796
"SRR13556499",3233423,3235092,"4",1669
"SRR13556499",3235093,3237419,"3",2326
"SRR13556499",3237420,3238162,"7",742
"SRR13556499",3238163,3238781,"4",618
"SRR13556499",3242738,3245405,"9",2667
"SRR13556499",3245406,3245873,"3",467
"SRR13556499",3245874,3248581,"4",2707
"SRR13556499",3274921,3275913,"6",992
"SRR13556499",3275914,3277259,"3",1345
"SRR13556499",3327976,3332538,"3",4562
"SRR13556499",3332539,3335053,"7",2514
"SRR13556499",3335054,3337232,"5",2178
"SRR13556499",3337233,3340873,"6",3640
"SRR13556499",3340874,3341651,"4",777
"SRR13556499",3346896,3349274,"5",2378
"SRR13556499",3350891,3352351,"4",1460
"SRR13556499",3352352,3352645,"8",293
"SRR13556499",3352646,3353482,"4",836
"SRR13556499",3356525,3361267,"5",4742
"SRR13556499",3361268,3363877,"6",2609
"SRR13556499",3363878,3365866,"4",1988
"SRR13556499",3378216,3384586,"3",6370
"SRR13556499",3384587,3386434,"6",1847
"SRR13556499",3386813,3390071,"4",3258
"SRR13556499",3390072,3396065,"6",5993
"SRR13556499",3403126,3403731,"8",605
"SRR13556499",3403732,3404988,"9",1256
"SRR13556499",3404989,3409827,"5",4838
"SRR13556499",3429485,3431324,"7",1839
"SRR13556499",3431325,3437151,"5",5826
"SRR13556499",3437152,3439525,"4",2373
"SRR13556499",3439526,3440047,"10",521
"SRR13556499",3440048,3442403,"5",2355
"SRR13556499",3461291,3464332,"3",3041
"SRR13556499",3464333,3466835,"7",2502
"SRR13556499",3466836,3468832,"3",1996
"SRR13556499",3468833,3470146,"10",1313
"SRR13556499",3470147,3470444,"4",297
"SRR13556499",3470445,3470641,"10",196
"SRR13556499",3470642,3471050,"6",408
"SRR13556499",3471051,3473096,"10",2045
"SRR13556499",3531895,3534315,"6",2420
"SRR13556499",3534316,3535993,"3",1677
"SRR13556499",3535994,3541439,"5",5445
"SRR13556499",3564450,3566251,"3",1801
"SRR13556499",3566252,3567518,"5",1266
"SRR13556499",3567519,3568040,"10",521
"SRR13556499",3568041,3570729,"3",2688
"SRR13556499",3570730,3571997,"5",1267
"SRR13556499",3571998,3573783,"9",1785
"SRR13556499",3573784,3576006,"6",2222
"SRR13556499",3576007,3577444,"8",1437
"SRR13556499",3577445,3581743,"5",4298
"SRR13556499",3581744,3582624,"3",880
"SRR13556499",3582625,3584402,"6",1777
"SRR13556499",3590506,3591230,"6",724
"SRR13556499",3604768,3607247,"4",2479
"SRR13556499",3607248,3608223,"5",975
"SRR13556499",3638860,3646816,"5",7956
"SRR13556499",3670023,3673586,"5",3563
"SRR13556499",3673587,3674017,"10",430
"SRR13556499",3674018,3677034,"6",3016
"SRR13556499",3677035,3678004,"4",969
"SRR13556499",3678005,3681355,"5",3350
"SRR13556499",3729666,3730000,"4",334
"SRR13556499",3730001,3732772,"5",2771
"SRR13556499",3751192,3753105,"10",1913
"SRR13556499",3753106,3757250,"7",4144
"SRR13556499",3757251,3771403,"5",14152
"SRR13556499",3800399,3806548,"5",6149
"SRR13556499",3806549,3810930,"6",4381
"SRR13556499",3821662,3823390,"6",1728
"SRR13556499",3823391,3824670,"10",1279
"SRR13556499",3824671,3825888,"4",1217
"SRR13556499",3825889,3826886,"3",997
"SRR13556499",3826887,3827885,"8",998
"SRR13556499",3827886,3830194,"5",2308
"SRR13556499",3898757,3901774,"6",3017
"SRR13556499",3911169,3913676,"5",2507
"SRR13556499",3916163,3924258,"6",8095
"SRR13556499",3924259,3927555,"10",3296
"SRR13556499",3983058,3983489,"5",431
"SRR13556499",3983490,3986577,"3",3087
"SRR13556499",3987894,3988990,"3",1096
"SRR13556499",3988991,3990981,"6",1990
"SRR13556499",3990982,3995252,"10",4270
"SRR13556499",3997314,4004182,"5",6868
"SRR13556499",4004183,4006346,"6",2163
"SRR13556499",4131274,4133629,"3",2355
"SRR13556499",4133852,4135144,"10",1292
"SRR13556499",4135145,4139459,"1",4314
"SRR13556499",4239869,4251226,"6",11357
"ERR12861639",2586060,2587049,"5",989
"ERR12861639",2587050,2587902,"10",852
"ERR12861639",3151985,3152665,"3",680
"ERR12861491",104230,105109,"10",879
"ERR12861491",105110,109403,"7",4293
"ERR12861491",203443,203577,"2",134
"ERR12861491",244731,245818,"6",1087
"ERR12861491",245819,246253,"7",434
"ERR12861491",246254,247305,"1",1051
"ERR12861491",247306,247544,"7",238
"ERR12861491",250076,251704,"10",1628
"ERR12861491",274253,276025,"7",1772
"ERR12861491",456079,456232,"10",153
"ERR12861491",559651,560375,"6",724
"ERR12861491",564563,566200,"1",1637
"ERR12861491",588642,590621,"1",1979
"ERR12861491",618939,619284,"10",345
"ERR12861491",700528,701920,"5",1392
"ERR12861491",763647,764309,"6",662
"ERR12861491",836299,837375,"1",1076
"ERR12861491",902629,905989,"6",3360
"ERR12861491",907872,908544,"7",672
"ERR12861491",990875,992183,"10",1308
"ERR12861491",1032817,1035355,"6",2538
"ERR12861491",1134852,1139105,"7",4253
"ERR12861491",1149448,1150303,"1",855
"ERR12861491",1258098,1258757,"10",659
"ERR12861491",1333534,1334434,"7",900
"ERR12861491",1458283,1459116,"1",833
"ERR12861491",1507571,1508280,"7",709
"ERR12861491",1513144,1513892,"7",748
"ERR12861491",1546031,1546773,"3",742
"ERR12861491",1552218,1552554,"1",336
"ERR12861491",1561288,1562722,"1",1434
"ERR12861491",1569267,1572681,"6",3414
"ERR12861491",1586243,1587214,"7",971
"ERR12861491",1817808,1819113,"7",1305
"ERR12861491",1819114,1822168,"6",3054
"ERR12861491",1826503,1829123,"6",2620
"ERR12861491",1864255,1864988,"6",733
"ERR12861491",1906708,1907612,"10",904
"ERR12861491",2113193,2114050,"10",857
"ERR12861491",2260215,2260847,"2",632
"ERR12861491",2266353,2267952,"9",1599
"ERR12861491",2414556,2415758,"10",1202
"ERR12861491",2522547,2525159,"2",2612
"ERR12861491",2580676,2581793,"6",1117
"ERR12861491",2588362,2589347,"10",985
"ERR12861491",2632777,2633238,"10",461
"ERR12861491",2716780,2723527,"6",6747
"ERR12861491",2836020,2837287,"7",1267
"ERR12861491",2837288,2838175,"10",887
"ERR12861491",2873260,2874003,"6",743
"ERR12861491",2968491,2971269,"6",2778
"ERR12861491",2995888,2997732,"7",1844
"ERR12861491",3015104,3015844,"3",740
"ERR12861491",3015845,3016758,"7",913
"ERR12861491",3047935,3048862,"5",927
"ERR12861491",3088735,3093328,"6",4593
"ERR12861491",3098266,3100349,"7",2083
"ERR12861491",3224799,3226339,"6",1540
"ERR12861491",3321990,3323894,"7",1904
"ERR12861491",3333439,3334408,"8",969
"ERR12861491",3422865,3426386,"7",3521
"ERR12861491",3445701,3446957,"10",1256
"ERR12861491",3457872,3459746,"10",1874
"ERR12861491",3465515,3466329,"6",814
"ERR12861491",3586098,3587353,"10",1255
"ERR12861491",3612332,3613785,"7",1453
"ERR12861491",3625272,3626924,"6",1652
"ERR12861491",3654289,3655334,"7",1045
"ERR12861491",3715572,3720925,"6",5353
"ERR12861491",3723443,3724897,"1",1454
"ERR12861491",3754055,3763253,"7",9198
"ERR12861491",3779940,3780192,"8",252
"ERR12861491",3922683,3924055,"7",1372
"ERR12861491",3987610,3988855,"6",1245
"ERR12861491",4004790,4006055,"6",1265
"ERR12861491",4006737,4007276,"7",539
"ERR12861491",4182645,4194131,"2",11486
"ERR12861491",4194132,4201330,"3",7198
"DRR286137",1496907,1498493,"8",1586
"ERR12861475",7199,7882,"10",683
"ERR12861475",14333,14951,"8",618
"ERR12861475",14952,20968,"6",6016
"ERR12861475",70783,72584,"6",1801
"ERR12861475",86856,89950,"10",3094
"ERR12861475",100053,109462,"6",9409
"ERR12861475",116792,117082,"10",290
"ERR12861475",117083,121523,"4",4440
"ERR12861475",123164,124201,"7",1037
"ERR12861475",140926,141863,"4",937
"ERR12861475",148640,150347,"8",1707
"ERR12861475",150348,151156,"7",808
"ERR12861475",158821,162079,"10",3258
"ERR12861475",174261,175562,"9",1301
"ERR12861475",175563,177692,"10",2129
"ERR12861475",177931,180057,"10",2126
"ERR12861475",186825,190329,"10",3504
"ERR12861475",192474,192581,"6",107
"ERR12861475",192582,193769,"4",1187
"ERR12861475",194104,196372,"6",2268
"ERR12861475",204015,205905,"4",1890
"ERR12861475",213558,217674,"7",4116
"ERR12861475",218657,226915,"4",8258
"ERR12861475",226916,227394,"8",478
"ERR12861475",227395,228254,"4",859
"ERR12861475",228255,230467,"7",2212
"ERR12861475",230468,234166,"4",3698
"ERR12861475",234167,237044,"10",2877
"ERR12861475",272480,276353,"4",3873
"ERR12861475",290638,292550,"9",1912
"ERR12861475",320894,322843,"5",1949
"ERR12861475",326703,331957,"6",5254
"ERR12861475",366346,367630,"4",1284
"ERR12861475",396792,400580,"6",3788
"ERR12861475",400581,403728,"8",3147
"ERR12861475",405507,406525,"10",1018
"ERR12861475",413876,415246,"8",1370
"ERR12861475",419707,420356,"4",649
"ERR12861475",420357,422189,"6",1832
"ERR12861475",422190,422950,"10",760
"ERR12861475",435137,436376,"8",1239
"ERR12861475",450416,451621,"8",1205
"ERR12861475",451622,457800,"6",6178
"ERR12861475",457801,458696,"10",895
"ERR12861475",477597,478699,"9",1102
"ERR12861475",482403,483325,"10",922
"ERR12861475",505951,506588,"10",637
"ERR12861475",506844,508150,"4",1306
"ERR12861475",522207,524433,"4",2226
"ERR12861475",530025,532545,"10",2520
"ERR12861475",559587,560705,"10",1118
"ERR12861475",560706,561612,"6",906
"ERR12861475",571017,574394,"6",3377
"ERR12861475",600112,601204,"10",1092
"ERR12861475",618939,619691,"6",752
"ERR12861475",623284,624590,"10",1306
"ERR12861475",632574,634462,"10",1888
"ERR12861475",682137,687659,"8",5522
"ERR12861475",695802,696764,"4",962
"ERR12861475",696765,698559,"10",1794
"ERR12861475",700528,701825,"6",1297
"ERR12861475",722283,723027,"4",744
"ERR12861475",727235,731542,"4",4307
"ERR12861475",731543,736849,"10",5306
"ERR12861475",736850,740133,"9",3283
"ERR12861475",743767,745747,"9",1980
"ERR12861475",745748,746396,"6",648
"ERR12861475",775514,777123,"7",1609
"ERR12861475",796288,797358,"6",1070
"ERR12861475",813090,813550,"4",460
"ERR12861475",822151,824868,"9",2717
"ERR12861475",829662,832141,"6",2479
"ERR12861475",839070,840231,"10",1161
"ERR12861475",840232,841693,"6",1461
"ERR12861475",846156,847468,"6",1312
"ERR12861475",873881,874631,"10",750
"ERR12861475",881726,883435,"6",1709
"ERR12861475",907942,910201,"4",2259
"ERR12861475",913548,914359,"5",811
"ERR12861475",918416,919378,"9",962
"ERR12861475",944917,945231,"3",314
"ERR12861475",962564,964734,"4",2170
"ERR12861475",969982,971983,"7",2001
"ERR12861475",972349,973165,"4",816
"ERR12861475",984121,986253,"4",2132
"ERR12861475",1016228,1020690,"9",4462
"ERR12861475",1023379,1026827,"4",3448
"ERR12861475",1026828,1030169,"6",3341
"ERR12861475",1035540,1041793,"4",6253
"ERR12861475",1041794,1044708,"6",2914
"ERR12861475",1063593,1064644,"4",1051
"ERR12861475",1079892,1084714,"7",4822
"ERR12861475",1084764,1087567,"8",2803
"ERR12861475",1087568,1090278,"4",2710
"ERR12861475",1092994,1097520,"9",4526
"ERR12861475",1097521,1100044,"6",2523
"ERR12861475",1100045,1101353,"10",1308
"ERR12861475",1102730,1104508,"8",1778
"ERR12861475",1104509,1106691,"5",2182
"ERR12861475",1106692,1109024,"4",2332
"ERR12861475",1114650,1115583,"6",933
"ERR12861475",1117715,1120156,"6",2441
"ERR12861475",1128935,1129745,"6",810
"ERR12861475",1146287,1147469,"8",1182
"ERR12861475",1151128,1152096,"4",968
"ERR12861475",1164044,1165516,"4",1472
"ERR12861475",1192101,1192370,"6",269
"ERR12861475",1199746,1200233,"9",487
"ERR12861475",1204065,1211684,"9",7619
"ERR12861475",1211685,1212012,"6",327
"ERR12861475",1213790,1216635,"8",2845
"ERR12861475",1216636,1219157,"6",2521
"ERR12861475",1227987,1229914,"6",1927
"ERR12861475",1233182,1239488,"4",6306
"ERR12861475",1257127,1258783,"10",1656
"ERR12861475",1259560,1260462,"10",902
"ERR12861475",1268570,1271337,"6",2767
"ERR12861475",1271338,1272347,"9",1009
"ERR12861475",1285634,1288748,"7",3114
"ERR12861475",1294950,1295575,"8",625
"ERR12861475",1295576,1296592,"4",1016
"ERR12861475",1310259,1310550,"7",291
"ERR12861475",1311488,1317908,"6",6420
"ERR12861475",1320997,1322129,"5",1132
"ERR12861475",1322130,1323543,"7",1413
"ERR12861475",1323544,1324579,"10",1035
"ERR12861475",1338183,1340332,"6",2149
"ERR12861475",1351060,1352895,"9",1835
"ERR12861475",1352896,1354598,"5",1702
"ERR12861475",1369684,1372787,"6",3103
"ERR12861475",1372788,1373279,"4",491
"ERR12861475",1386911,1389078,"6",2167
"ERR12861475",1389079,1389950,"4",871
"ERR12861475",1407067,1411599,"6",4532
"ERR12861475",1424034,1426659,"4",2625
"ERR12861475",1427433,1432455,"6",5022
"ERR12861475",1432456,1433969,"5",1513
"ERR12861475",1433970,1437981,"8",4011
"ERR12861475",1437982,1441372,"10",3390
"ERR12861475",1447418,1450171,"4",2753
"ERR12861475",1467817,1472865,"10",5048
"ERR12861475",1477129,1479182,"7",2053
"ERR12861475",1489579,1490579,"10",1000
"ERR12861475",1498494,1499957,"10",1463
"ERR12861475",1507571,1508126,"7",555
"ERR12861475",1508565,1508934,"8",369
"ERR12861475",1509301,1511373,"4",2072
"ERR12861475",1511612,1513018,"10",1406
"ERR12861475",1513893,1517851,"8",3958
"ERR12861475",1517852,1519684,"5",1832
"ERR12861475",1522078,1524798,"9",2720
"ERR12861475",1528241,1531114,"5",2873
"ERR12861475",1548380,1549559,"4",1179
"ERR12861475",1549560,1551782,"6",2222
"ERR12861475",1552634,1555639,"4",3005
"ERR12861475",1567411,1569338,"6",1927
"ERR12861475",1575318,1576547,"9",1229
"ERR12861475",1578975,1585381,"6",6406
"ERR12861475",1585382,1585964,"5",582
"ERR12861475",1585965,1592161,"10",6196
"ERR12861475",1601712,1602534,"6",822
"ERR12861475",1606027,1608861,"6",2834
"ERR12861475",1614009,1615734,"9",1725
"ERR12861475",1615735,1617612,"4",1877
"ERR12861475",1622343,1623392,"5",1049
"ERR12861475",1623393,1626429,"6",3036
"ERR12861475",1626430,1627436,"10",1006
"ERR12861475",1629598,1633928,"9",4330
"ERR12861475",1635664,1639075,"7",3411
"ERR12861475",1639076,1642374,"8",3298
"ERR12861475",1642375,1643951,"4",1576
"ERR12861475",1645481,1647126,"10",1645
"ERR12861475",1647127,1647932,"6",805
"ERR12861475",1647933,1650470,"10",2537
"ERR12861475",1650471,1652770,"6",2299
"ERR12861475",1652771,1653637,"5",866
"ERR12861475",1658938,1660601,"4",1663
"ERR12861475",1676250,1680240,"6",3990
"ERR12861475",1688824,1689867,"8",1043
"ERR12861475",1696537,1697375,"9",838
"ERR12861475",1697376,1700657,"6",3281
"ERR12861475",1705168,1708001,"10",2833
"ERR12861475",1710567,1713901,"7",3334
"ERR12861475",1713902,1715831,"9",1929
"ERR12861475",1715832,1718033,"4",2201
"ERR12861475",1718034,1719025,"10",991
"ERR12861475",1725298,1726398,"8",1100
"ERR12861475",1731372,1732986,"10",1614
"ERR12861475",1759029,1760524,"10",1495
"ERR12861475",1760525,1762320,"4",1795
"ERR12861475",1762321,1764555,"6",2234
"ERR12861475",1768542,1770215,"8",1673
"ERR12861475",1777323,1779196,"5",1873
"ERR12861475",1781500,1783229,"7",1729
"ERR12861475",1783230,1785862,"10",2632
"ERR12861475",1791056,1794787,"6",3731
"ERR12861475",1797294,1799853,"5",2559
"ERR12861475",1800602,1801462,"4",860
"ERR12861475",1801463,1802111,"8",648
"ERR12861475",1802112,1805396,"4",3284
"ERR12861475",1809228,1811034,"6",1806
"ERR12861475",1811035,1813052,"4",2017
"ERR12861475",1816806,1818495,"10",1689
"ERR12861475",1870508,1871464,"9",956
"ERR12861475",1874852,1877166,"4",2314
"ERR12861475",1889484,1890910,"8",1426
"ERR12861475",1890911,1898079,"6",7168
"ERR12861475",1898080,1901408,"9",3328
"ERR12861475",1901409,1902975,"4",1566
"ERR12861475",1902976,1904666,"9",1690
"ERR12861475",1904667,1907333,"4",2666
"ERR12861475",1910746,1916325,"6",5579
"ERR12861475",1926258,1929550,"8",3292
"ERR12861475",1939267,1942070,"8",2803
"ERR12861475",1952309,1953373,"4",1064
"ERR12861475",1954355,1955824,"6",1469
"ERR12861475",1957275,1958212,"4",937
"ERR12861475",1966954,1968537,"4",1583
"ERR12861475",1968737,1974934,"10",6197
"ERR12861475",1974935,1976961,"5",2026
"ERR12861475",1977239,1979747,"8",2508
"ERR12861475",1979748,1982701,"7",2953
"ERR12861475",1982702,1987783,"4",5081
"ERR12861475",1992294,1995318,"10",3024
"ERR12861475",1998591,2000963,"8",2372
"ERR12861475",2022408,2023805,"4",1397
"ERR12861475",2042736,2043547,"6",811
"ERR12861475",2044057,2045153,"5",1096
"ERR12861475",2049186,2050010,"8",824
"ERR12861475",2057714,2060776,"8",3062
"ERR12861475",2061670,2068425,"10",6755
"ERR12861475",2092722,2094160,"10",1438
"ERR12861475",2094161,2096729,"4",2568
"ERR12861475",2096730,2098080,"8",1350
"ERR12861475",2108095,2110703,"7",2608
"ERR12861475",2110704,2114207,"6",3503
"ERR12861475",2126561,2128283,"4",1722
"ERR12861475",2128284,2131095,"6",2811
"ERR12861475",2131096,2132668,"4",1572
"ERR12861475",2170280,2173813,"9",3533
"ERR12861475",2173814,2175762,"5",1948
"ERR12861475",2178655,2180792,"4",2137
"ERR12861475",2180793,2187215,"10",6422
"ERR12861475",2187216,2192820,"4",5604
"ERR12861475",2192821,2196902,"8",4081
"ERR12861475",2201203,2205518,"7",4315
"ERR12861475",2221894,2225846,"4",3952
"ERR12861475",2227325,2229670,"10",2345
"ERR12861475",2232454,2236180,"10",3726
"ERR12861475",2236181,2237928,"4",1747
"ERR12861475",2237929,2238637,"9",708
"ERR12861475",2245104,2245596,"7",492
"ERR12861475",2245597,2248779,"4",3182
"ERR12861475",2252129,2255050,"4",2921
"ERR12861475",2255110,2256743,"9",1633
"ERR12861475",2267857,2269669,"4",1812
"ERR12861475",2306231,2306912,"4",681
"ERR12861475",2311724,2311993,"10",269
"ERR12861475",2311994,2312530,"5",536
"ERR12861475",2312531,2314707,"4",2176
"ERR12861475",2314708,2321023,"6",6315
"ERR12861475",2325245,2328846,"6",3601
"ERR12861475",2328847,2330791,"10",1944
"ERR12861475",2330792,2336561,"4",5769
"ERR12861475",2343927,2344962,"4",1035
"ERR12861475",2351335,2355392,"4",4057
"ERR12861475",2400450,2400926,"6",476
"ERR12861475",2409385,2418871,"4",9486
"ERR12861475",2430335,2431748,"10",1413
"ERR12861475",2431749,2437727,"4",5978
"ERR12861475",2444131,2445349,"7",1218
"ERR12861475",2446830,2448038,"6",1208
"ERR12861475",2449533,2454732,"4",5199
"ERR12861475",2465238,2470419,"8",5181
"ERR12861475",2484411,2488152,"4",3741
"ERR12861475",2492263,2497715,"10",5452
"ERR12861475",2504857,2505855,"8",998
"ERR12861475",2517909,2519028,"4",1119
"ERR12861475",2519611,2522546,"10",2935
"ERR12861475",2536300,2538180,"6",1880
"ERR12861475",2538321,2538873,"10",552
"ERR12861475",2538874,2539097,"4",223
